第117回 医師国家試験 B問題

1 インシデントレポートで正しいのはどれか。
a 保健所に報告する義務がある。
b 医療安全管理委員会が作成する。
c 薬剤に関する報告件数が最も多い。
d 報告件数が少ないほど医療安全の質が高い。
e 患者に実害がない場合は作成する必要はない。

2 吐血よりも喀血を示唆する所見はどれか。
a 悪心を伴う。
b 咳嗽を伴う。
c 食物残渣を伴う。
d タール便を伴う。
e 暗赤色の色調である。

3 医師の職業倫理に反するのはどれか。
a 患者から医療施設への寄付の申し出があり受け入れた。
b 自らの専門性を超えると判断した患者を他の医療機関に紹介した。
c サプリメントを使用する患者に健康被害に留意するよう指導した。
d 症例対照研究のために患者に許可なく本籍地を含む個人情報を収集した。
e 血液製剤の使用を拒む成人患者に意思の尊重と救命の両立とを図る努力をした。

4 胎児期に血液酸素飽和度が最も低いのはどれか。
a 左心室
b 静脈管
c 臍帯静脈
d 臍帯動脈
e 中大脳動脈

5 診療録におけるSOAPのAに該当するのはどれか。
a 現病歴
b 鑑別診断
c 検査結果
d 身体所見
e 治療計画

6 感染性心内膜炎を示唆する皮膚所見はどれか。
a Roth 斑
b 輪状紅斑
c Koplik 斑
d Osler 結節
e 遊走性紅斑

7 高齢者総合機能評価〈CGA〉において、復唱を用いて評価するのはどれか。
a 意欲
b 運動機能
c 認知機能
d 基本的日常生活動作
e 手段的日常生活動作

8 Which of the following diseases needs airborne precautions?
a herpes
b influenza
c mumps
d rubella
e varicella

9 妊娠高血圧症候群の重症化の指標となるのはどれか。
a 血小板の減少
b 呼吸数の減少
c 下腿浮腫の悪化
d 子宮収縮の増強
e 尿蛋白/クレアチニン比の低下

10 2016年および2019年に行われた国民生活基礎調査で、病気やけが等で自覚症状がある人数を人口1,000人比で求めた有訴者率を、性別と症状別にグラフに記したもの(別冊No. 1)を別に示す。
Aの症状はどれか。
a 下痢
b 動悸
c 腹痛
d 腰痛
e 手足のしびれ

11 患者の訴えのうち、抑うつ状態が最も考えられるのはどれか。
a 「すぐにかっとなってしまいます」
b 「何をするのも億劫で仕方ありません」
c 「なんとなく落ち着かない気持ちになります」
d 「昼間にうとうとすることが多くなりました」
e 「外に出ると誰かに見られているような気がします」

12 処方箋について正しいのはどれか。
a 有効期間は1日である。
b 薬剤師に発行権限がある。
c 一般名による薬剤名の記載は有効である。
d 医療機関が特定の保険薬局を指定できる。
e 処方医は自筆で署名をしなくてはならない。

13 病歴聴取で、家族内に同じ疾患の患者が存在することが、診断に最も有用な疾患はどれか。
a 心房細動
b 肥大型心筋症
c 冠攣縮性狭心症
d 大動脈弁狭窄症
e 心サルコイドーシス

14 介護保険の強制加入の開始年齢はどれか。
a 20歳
b 40歳
c 60歳
d 65歳
e 75歳

15 瘙痒をきたしにくいのはどれか。
a 薬疹
b 蕁麻疹
c 結節性紅斑
d 多形滲出性紅斑
e アトピー性皮膚炎

16 緊張性気胸で認める所見はどれか。
a ばち指
b 奇異呼吸
c 血圧低下
d 縦隔動揺
e 患側肋間腔狭小

17 医療面接における傾聴で正しいのはどれか。
a 事実確認を行う。
b アドバイスをする。
c 時間を限って聞く。
d 相手の話を熱心に聞く。
e 決められた項目を聞く。

18 治療薬物モニタリング〈TDM〉の対象となる抗菌薬はどれか。
a カルバペネム系
b ニューキノロン系
c リンコマイシン系
d アミノグリコシド系
e セファロスポリン系

19 肺低形成を合併する胎児疾患はどれか。
a 水頭症
b 二分脊椎
c 臍帯ヘルニア
d 横隔膜ヘルニア
e 先天性食道閉鎖症

20 失神をきたしうる疾患と失神の誘因との組合せで誤っているのはどれか。
a 起立性低血圧 ― α遮断薬投与
b 頸動脈洞症候群 ― 頸部の伸展
c Brugada 症候群 ― 発熱
d 完全房室ブロック ― 安静臥位
e 閉塞性肥大型心筋症 ― 激しい運動

21 我が国の医療保険制度について正しいのはどれか。
a 国民皆保険制度である。
b 予防接種は対象である。
c 保険医は保険者が指定する。
d 65歳以上は後期高齢者医療制度に加入する。
e 雇用主は被用者保険の保険料を全額負担する。

22 治療薬の効果に関するランダム化比較試験の試験参加について被験者の同意を取得したとみなされるのはどれか。
a 研究に用いる薬物の服用
b 研究を行う主治医の同意
c 研究施設の倫理委員会の承認
d 施設のホームページでの公示
e 被験者への説明と同意文書の取得

23 糸球体濾過量〈GFR〉について正しいのはどれか。
a GFRの軽度低下で血清クレアチニン値は上昇する。
b イヌリンクリアランスは正確なGFR評価に用いられる。
c 健常者において加齢によるGFR低下は80歳まで起こらない。
d 筋肉量が少ない場合はeGFRが実測 GFRより低くなることが多い。
e 成人のeGFRは血清クレアチニン値、身長および年齢から計算される。

24 月経は何を排出するために起きているか。
a 血液
b 頸管粘液
c 子宮内膜
d 腟分泌物
e 卵管分泌物

25 リスボン宣言の内容で誤っているのはどれか。
a 患者には医療情報の提供を拒否する権利がある。
b 患者には医学教育への参加を拒否する権利がある。
c 自殺企図の患者の場合、患者の生命を救う努力をする。
d 患者の情報は患者の死後も秘密が守られる必要がある。
e 患者が未成年の場合、患者の意思よりも代理人の希望が優先される。

26 86歳の女性。10年前に脳梗塞を発症して寝たきりとなった。重度の認知症があり、自宅で家族が介護してきたが、四肢関節の拘縮が徐々に進行し、最近は体位変換も困難である。訪問診療に訪れたところ、和室の布団に右側臥位で寝ている。股関節は90度屈曲位で拘縮しており、うなり声をあげている。身長154cm、体重42kg。体温36.2℃。脈拍76/分、整。血圧122/68mmHg。呼吸数18/分。
診察に際して正しいのはどれか。
a 表情をみながら触診する。
b 浮腫の有無は左半身で判断する。
c 股関節を完全伸展させてから診察する。
d 声を出さないよう指示してから聴診する。
e 打診は疼痛が疑われる部位に繰り返し行う。

27 35歳の男性。血尿を主訴に来院した。昨日初めてフルマラソンを完走し、その3時間後から尿の色が赤黒くなり持続している。下肢の筋肉痛があるが、その他の症状はない。既往歴に特記すべきことはない。身長170cm、体重68kg。脈拍72/分、整。血圧132/60 mmHg。胸腹部に異常を認めない。両下肢全体に圧痛を認める。尿所見:蛋白(-)、ケトン体(-)、潜血3+、沈渣に赤血球、白血球、円柱を認めない。血液検査の結果はまだ報告されていない。
最も考えられる疾患はどれか。
a 膀胱炎
b IgA腎症
c 尿路結石
d 横紋筋融解症
e 多発性嚢胞腎

28 82歳の女性。発熱を主訴に家族に連れられて来院した。誤嚥性肺炎の診断で入院となった。Alzheimer 型認知症があり、食事のむせこみで頻回の誤嚥性肺炎の既往がある。肺炎のため2週間前に入院し、肺炎は改善したがADLが低下したため現在は全介助の状態である。認知機能障害のため嚥下訓練も進まず胃瘻の造設を検討することになった。認知症症状が悪化する前には、「ボケるくらいなら死んだほうがまし」、「胃に管を入れてまで生きたいと思わない」と発言していたという。息子は胃瘻を希望しているが娘は反対している。現在、意識は傾眠状態で、呼びかけに反応しない。
この患者の胃瘻造設に関する意思決定について適切なのはどれか。
a 患者を介護する家族が決定する。
b 病状説明を行って患者が決定する。
c 患者にとっての最善な治療方法を医療チームが決定する。
d 患者の推定意思を尊重し家族と医療チームが話し合って決定する。
e 院内に設置された委員会が家族と医療チームの意見に基づいて決定する。

29 76歳の女性。高血圧と慢性心不全のため入院していた。退院後は自宅近くの診療所に通院し、かかりつけ医の指導により自宅で毎朝体温、脈拍、血圧および体重の測定を行い、下腿浮腫の有無を確認している。
体液の過剰状態を早期に判断するために最も信頼度が高い項目はどれか。
a 体温
b 脈拍
c 血圧
d 体重
e 浮腫

30 40歳の女性。心窩部痛を主訴に来院した。医療面接で解釈モデルを把握するための質問はどれか。
a 「どうされましたか」
b 「どのような痛みですか」
c 「最近ストレスはありましたか」
d 「このような痛みは初めてですか」
e 「痛みの原因をどのように考えていますか」

31 65歳の女性。発熱を主訴に来院した。2日前から悪寒を伴う39℃台の発熱と右顔面の痛みが出現したため受診した。鼻閉や鼻汁はない。生来健康で、アレルギー歴や外傷歴はない。意識は清明。体温38.4℃。脈拍92/分、整。血圧134/68 mmHg。呼吸数20/分。顔面に右を主体とする腫脹があり、左右差を認める。右額面から、右頬部にかけて硬結と圧痛を伴う浮腫性紅斑を認める。右眼に充血はなく、眼球運動は正常である。顔面の写真(別冊No. 2)を別に示す。
考えられる病原微生物はどれか。
a 結核菌
b 緑膿菌
c カンジダ
d A群溶連菌
e 水痘・帯状疱疹ウイルス

32 18歳の男子。鼻出血を主訴に来院した。自宅で特に誘引なく鼻出血が出現し、タオルで鼻を押さえて受診した。1週間前に行われた大学の健康診断で異常は指摘されなかった。意識は清明。身長176cm、体重68kg。体温36.4℃。脈拍80/分、整。血圧120/64 mmHg。呼吸数12/分。SpO2 99%(room air)。眼瞼結膜に貧血を認めない。胸部と腹部の診察で異常を認めない。
適切な初期対応はどれか。
a 鼻翼をつまむ。
b 仰臥位にする。
c 鼻部を氷で冷やす。
d 後頸部を軽くたたく。
e のどに流れてきた血液は飲み込ませる。

33 49歳の男性。病期IVの大腸癌で抗癌化学療法のため入院した。以下のように家族に関する情報を得た。
「既婚です」
「子供が3人おり、上から男、男、女です」
「長男は遠方で就職しており、私は妻と下の2人の子供と同居しています」
「父は胃癌で72歳のときに亡くなりました」
「母は脳卒中で60歳のときに亡くなりました」
「4人の兄弟姉妹で上から兄、姉、私、弟です」
家系図(別冊No. 3①~⑤)を別に示す。
