exam	section	number	answer_1	answer_2	answer_3	answer_4
119	A	001	A			
119	A	002	A			
119	A	003	D			
119	A	004	E			
119	A	005	B			
119	A	006	A			
119	A	007	E			
119	A	008	E			
119	A	009	D			
119	A	010	A			
119	A	011	B			
119	A	012	CE			
119	A	013	CD			
119	A	014	DE			
119	A	015	A			
119	A	016	D			
119	A	017	C			
119	A	018	B			
119	A	019	D			
119	A	020	A			
119	A	021	A			
119	A	022	C			
119	A	023	B			
119	A	024	E			
119	A	025	E			
119	A	026	A			
119	A	027	E			
119	A	028	E			
119	A	029	D			
119	A	030	C			
119	A	031	D			
119	A	032	D			
119	A	033	C			
119	A	034	B			
119	A	035	A			
119	A	036	E			
119	A	037	B			
119	A	038	D			
119	A	039	E			
119	A	040	A			
119	A	041	B			
119	A	042	E			
119	A	043	B			
119	A	044	E			
119	A	045	C			
119	A	046	D			
119	A	047	B			
119	A	048	E			
119	A	049	D			
119	A	050	C			
119	A	051	E			
119	A	052	D			
119	A	053	C			
119	A	054	D			
119	A	055	A			
119	A	056	A			
119	A	057	C			
119	A	058	C			
119	A	059	A			
119	A	060	A			
119	A	061	B			
119	A	062	E			
119	A	063	D			
119	A	064	B			
119	A	065	C			
119	A	066	D			
119	A	067	E			
119	A	068	B			
119	A	069	E			
119	A	070	AE			
119	A	071	AE			
119	A	072	CE			
119	A	073	BE			
119	A	074	AB			
119	A	075	600			
119	B	001	A			
119	B	002	E			
119	B	003	A			
119	B	004	B			
119	B	005	E			
119	B	006	E			
119	B	007	E			
119	B	008	E			
119	B	009	A			
119	B	010	A			
119	B	011	E			
119	B	012	B			
119	B	013	D			
119	B	014	A			
119	B	015	E			
119	B	016	C			
119	B	017	E			
119	B	018	D			
119	B	019	D			
119	B	020	C			
119	B	021	E			
119	B	022	A			
119	B	023	B			
119	B	024	B			
119	B	025	B			
119	B	026	A			
119	B	027	D			
119	B	028	D			
119	B	029	E			
119	B	030	C			
119	B	031	A			
119	B	032	B			
119	B	033	E			
119	B	034	E			
119	B	035	A			
119	B	036	B			
119	B	037	C			
119	B	038	E			
119	B	039	E			
119	B	040	A			
119	B	041	B			
119	B	042	C			
119	B	043	B			
119	B	044	D			
119	B	045	E			
119	B	046	E			
119	B	047	B			
119	B	048	E			
119	B	049	B			
119	B	050	B			
119	C	001	B			
119	C	002	D			
119	C	003	E			
119	C	004	D			
119	C	005	B			
119	C	006	D			
119	C	007	E			
119	C	008	D			
119	C	009	C			
119	C	010	D			
119	C	011	E			
119	C	012	E			
119	C	013	B			
119	C	014	E			
119	C	015	E			
119	C	016	A			
119	C	017	D			
119	C	018	A			
119	C	019	D			
119	C	020	C			
119	C	021	E			
119	C	022	E			
119	C	023	D			
119	C	024	E			
119	C	025	C			
