第120回 医師国家試験 B問題

1 患者中心型モデルに基づく面接に配慮した質問はどれか。
a 「いつから熱が続いていますか」
b 「血縁者に病気の方はいますか」
c 「喫煙歴について教えてください」
d 「この薬は過去に服用したことがありますか」
e 「病気をされてから、何か生活に変化がありましたか」

2 診療所開設の届出先はどれか。
a 市町村長
b 厚生労働大臣
c 地区医師会長
d 都道府県知事
e 地域医療支援病院長

3 三次予防はどれか。
a 高齢者への減塩教育
b 子どもへの予防接種
c 労働者への健康診断
d 障害者への生活技能訓練
e 高血圧症患者への服薬治療

4 不眠症に該当するのはどれか。
a 週に1回の不眠
b カフェイン摂取後の不眠
c 4時間昼寝をした日の夜の入眠困難
d 夜間勤務の休憩中に仮眠が取れない。
e 職業や学業などの日常生活に問題が生じる不眠

5 慢性腎臓病で正しいのはどれか。
a 喫煙は発症に関連しない。
b 年齢は発症に関連しない。
c 尿蛋白陽性が診断に必須である。
d 初期から自覚症状が現れることが多い。
e 心血管疾患発症のリスクファクターである。

6 X染色体連鎖性遺伝形式を呈する疾患はどれか。
a Huntington 病
b 脊髄性筋萎縮症
c 球脊髄性筋萎縮症
d 筋強直性ジストロフィー
e 福山型先天性筋ジストロフィー

7 死亡診断書・死体検案書の死因の種類が「不慮の外因死」になるのはどれか。
a 喉頭癌による気道閉塞
b 脳梗塞後の誤嚥性肺炎
c 餅を喉に詰まらせた窒息
d 肝臓癌破裂による汎発性腹膜炎
e 出血性胃潰瘍による出血性ショック

8 明治期から患者隔離が始まり、その後、治療薬が広く普及したにもかかわらず、隔離の根拠となる法律が平成8年(1996年)に廃止されるまで患者隔離が継続されたことにより、偏見や差別が続いた疾患の元患者の経験談を以下に示す。
「私は12歳で発病し、故郷から父親に連れられて療養所に入りました。すぐに本名を俗名に変えることを勧められました。私の実家は真っ白になるまで消毒され(中略)引っ越しせざるをえなかったと後で聞きました。」
言及されている疾患はどれか。
a 結核
b B型肝炎
c Hansen 病
d サリドマイドによる先天異常
e 後天性ヒト免疫不全症候群〈AIDS〉

9 片側の下腿浮腫をきたすことが多いのはどれか。
a 肝硬変
b 橋本病
c うっ血性心不全
d 深部静脈血栓症
e ネフローゼ症候群

10 更年期障害の発症に最も関与するのはどれか。
a アンドロゲン
b エストロゲン
c 甲状腺ホルモン
d プロゲステロン
e 副腎皮質ホルモン

11 正常な精巣の診察所見で正しいのはどれか。
a 精巣が石様の硬さである。
b 精巣を鼠径部に触知する。
c 精巣の大きさに左右差がある。
d 精巣を圧迫すると圧痕が残る。
e 精巣の周囲に精巣上体を触知する。

12 甲状腺機能亢進症でみられない眼所見はどれか。
a 眼球突出
b 眼瞼下垂
c 眼瞼腫脹
d 瞼裂開大
e 瞬目減少

13 関節リウマチでみられないのはどれか。
a 関節腫脹
b 骨棘形成
c CRP 高値
d 抗CCP抗体陽性
e リウマトイド因子〈RF〉陽性

14 細菌検査の検体で原則として室温保存するのはどれか。
a 尿
b 便
c 喀痰
d 胸水
e 血液

15 ジュネーブ宣言で正しいのはどれか。
a 医師の倫理に関する宣言
b 患者の権利と責任に関する宣言
c プライマリヘルスケアに関する宣言
d ヒトを対象とする医療研究の倫理に関する宣言
e ヘルスデータベースとバイオバンクの倫理に関する宣言

16 気管支喘息患者の肺野で聴取される wheezes の表現で適切なのはどれか。
a 吸気時に聴かれるパチパチという音
b 吸気時に聴かれるブツブツという音
c 吸気呼気両方で聴かれるキュッキュという音
d 呼気時に聴かれるゴロゴロという音
e 呼気時に聴かれるヒューヒューという音

17 リスクファクターに曝露している群と曝露していない群の罹患率の比で計算できるのはどれか。
a 感度
b 特異度
c 信頼区間
d 寄与危険度
e 相対危険度

18 Gram 染色標本(別冊No. 1①~⑤)を別に示す。
急性腎盂腎炎の原因菌で最も多いのはどれか。
a ①
b ②
c ③
d ④
e ⑤

19 痛みを訴える患者に対する医療面接において、冒頭で行う質問で最も適切なのはどれか。
a 「その痛みの原因は何だと思いますか」
b 「痛みの他にどんな症状がありましたか」
c 「痛みについて詳しく教えていただけますか」
d 「10段階で表すとその痛みの程度はどのくらいでしたか」
e 「その痛みは刺すような感じですか、それとも鈍い感じですか」

20 腰椎穿刺において、穿刺針で貫くことを避けるべきなのはどれか。
a 硬膜
b 脊髄
c くも膜
d 棘間靱帯
e 皮下組織

21 10か月の健常な乳児に認める反射はどれか。
a 物が手掌に触れると強く握る。
b 仰臥位で頭を右側に回転すると同側の上下肢が伸展する。
c 仰臥位で頭に手を添え落下させると上肢が外転・伸展する。
d 両脇を支えて床に足をつけると歩行するような動きをする。
e 懸垂位で頭を急に床に投げ出すように向けると両手を伸ばす。

22 感染症患者の身体診察後に手指消毒ではなく流水下での手洗いが必要なのはどれか。
a ノロウイルス
b 新型コロナウイルス
c インフルエンザウイルス
d 水痘・帯状疱疹ウイルス
e ヒト免疫不全ウイルス(HIV)

